folioviv,foliohog,entidad,ubica_geo
0101451501,1,01,01001
0101451502,1,01,01001
0101451503,1,01,01001
0101451504,1,01,01001
0101451505,1,01,01001
0101451506,1,01,01001
0101471201,1,01,01001
0101471202,1,01,01001
0101471203,1,01,01001
0101471205,1,01,01001
0101471206,1,01,01001
0101476001,1,01,01001
0101476002,1,01,01001
0101476003,1,01,01001
0101476004,1,01,01001
0101476004,2,01,01001
0101476005,1,01,01001
0101476006,1,01,01001
0101482601,1,01,01001
0101482602,1,01,01001
0101482603,1,01,01001
0101482604,1,01,01001
0101482605,1,01,01001
0101482606,1,01,01001
0101489301,1,01,01001
0101489302,1,01,01001
0101489303,1,01,01001
0101489303,2,01,01001
0101489304,1,01,01001
0101489305,1,01,01001
0101497502,1,01,01001
0101497503,1,01,01001
0101497504,1,01,01001
0101497505,1,01,01001
0101497506,1,01,01001
0101500301,1,01,01001
0101500303,1,01,01001
0101500304,1,01,01001
0101500305,1,01,01001
0101500306,1,01,01001
0101513901,1,01,01001
0101513902,1,01,01001
0101513903,1,01,01001
0101513904,1,01,01001
0101513904,2,01,01001
0101513906,1,01,01001
0101517801,1,01,01001
0101517802,1,01,01001
0101517803,1,01,01001
0101517804,1,01,01001
0101517805,1,01,01001
0101517806,1,01,01001
0101520401,1,01,01001
0101520402,1,01,01001
0101520402,2,01,01001
0101520403,1,01,01001
0101520404,1,01,01001
0101520405,1,01,01001
0101520406,1,01,01001
0101524901,1,01,01001
0101524903,1,01,01001
0101524904,1,01,01001
0101524905,1,01,01001
0101524906,1,01,01001
0101563801,1,01,01001
0101563802,1,01,01001
0101563804,1,01,01001
0101563805,1,01,01001
0101563806,1,01,01001
0101567401,1,01,01001
0101567402,1,01,01001
0101567403,1,01,01001
0101567405,1,01,01001
0101602001,1,01,01001
0101602002,1,01,01001
0101602003,1,01,01001
0101602004,1,01,01001
0101602005,1,01,01001
0101602006,1,01,01001
0101618601,1,01,01001
0101618602,1,01,01001
0101618603,1,01,01001
0101618604,1,01,01001
0101618605,1,01,01001
0101618606,1,01,01001
0101633701,1,01,01001
0101633704,1,01,01001
0101633705,1,01,01001
0101640701,1,01,01001
0101640702,1,01,01001
0101640703,1,01,01001
0101640704,1,01,01001
0101640704,2,01,01001
0101640706,1,01,01001
0101644001,1,01,01001
0101644002,1,01,01001
0101644003,1,01,01001
0101644004,1,01,01001
0101644005,1,01,01001
0101644006,1,01,01001
0101656201,1,01,01001
0101656202,1,01,01001
0101656203,1,01,01001
0101656204,1,01,01001
0101656205,1,01,01001
0101656206,1,01,01001
0101659501,1,01,01001
0101659502,1,01,01001
0101659503,1,01,01001
0101659505,1,01,01001
0101659506,1,01,01001
0101666601,1,01,01001
0101666602,1,01,01001
0101666603,1,01,01001
0101666604,1,01,01001
0101666605,1,01,01001
0101669701,1,01,01001
0101669702,1,01,01001
0101669703,1,01,01001
0101669704,1,01,01001
0101669705,1,01,01001
0101669705,2,01,01001
0101669706,1,01,01001
0101725202,1,01,01001
0101725203,1,01,01001
0101725204,1,01,01001
0101725206,1,01,01001
0101730201,1,01,01001
0101730203,1,01,01001
0101730204,1,01,01001
0101730205,1,01,01001
0101730206,1,01,01001
0101736301,1,01,01001
0101736302,1,01,01001
0101736303,1,01,01001
0101736306,1,01,01001
0101742501,1,01,01001
0101742502,1,01,01001
0101742503,1,01,01001
0101742505,1,01,01001
0101742506,1,01,01001
0101743301,1,01,01001
0101743302,1,01,01001
0101743303,1,01,01001
0101743304,1,01,01001
0101743305,1,01,01001
